Frame_no,cars_count,car_area,car_area_in_percent,density,manual_area_percent,Calculated_percent(100 - non_occupancy)
1,5,50059,16.355302020439634,0.17857142857142858,8.7,9.03
2,8,90967,29.72078465197731,0.2857142857142857,16.31,15.39
3,10,121915,39.832131001855785,0.35714285714285715,25.9,20.0
4,9,140427,45.88038108680311,0.32142857142857145,20.05,20.85
5,12,117624,38.43017329255861,0.42857142857142855,22.0,23.2
6,7,91667,29.949489009122036,0.25,25.105,20.28
7,10,133859,43.73448077576518,0.35714285714285715,25.1,23.83
8,5,62914,20.555294179147392,0.17857142857142858,23.8,16.59
9,8,111335,36.375428003868365,0.2857142857142857,13.0,17.29
10,11,128425,41.9590815233017,0.3928571428571429,18.45,24.84
11,8,119066,38.901304268276746,0.2857142857142857,24.78,23.28
12,10,133049,43.46983716249772,0.35714285714285715,22.01,23.49
13,8,129063,42.16752920881361,0.2857142857142857,22.18,21.93
14,6,84599,27.640228442980728,0.21428571428571427,23.0,13.7
15,9,105973,34.623552628139784,0.32142857142857145,15.5,18.09
16,8,102552,33.505841762722504,0.2857142857142857,18.6,18.22
17,10,147585,48.21904649886301,0.35714285714285715,17.8,20.94
18,12,165840,54.18332941268721,0.42857142857142855,23.9,27.2
19,9,129707,42.37793721738676,0.32142857142857145,27.2,24.54
20,9,125202,40.90606131890536,0.32142857142857145,22.8,21.04
21,13,156283,51.06086149664131,0.4642857142857143,25.1,23.35
22,11,152547,49.8402336705089,0.3928571428571429,25.4,20.33
23,8,124428,40.65317964400533,0.2857142857142857,29.7,17.93
24,6,93236,30.462113489636426,0.21428571428571427,17.7,15.08
25,9,131582,42.99053817402441,0.32142857142857145,17.1,17.61
26,4,67586,22.081732402833318,0.14285714285714285,10.5,9.56
27,9,123776,40.44015787135053,0.32142857142857145,20.1,19.12
28,12,141924,46.36948169058261,0.42857142857142855,16.8,16.08
