Density,flow,Frame_no,Total_occupied_percentage
10.499348368015976,463.2052436417596,1,25.712904153271126
17.24854829098838,752.5090911079445,2,42.241694764630545
20.571785493622162,892.5284929460043,3,50.38030267388067
22.143752734032986,958.2020452966817,4,54.23005044564678
17.312985206639606,755.239289310834,5,42.399500771060396
19.592024192291667,851.4145249597974,6,47.98086724692229
18.704849266658805,814.0654994765653,7,45.80817585404741
12.538783418865535,551.3229906115336,8,30.707480592801694
18.413482343714115,801.7743559011653,9,45.09461825975587
24.62864298438451,1061.283555262604,10,60.31554666875766
19.161377476510786,833.2990800463472,11,46.92621343997491
22.310648347862568,965.1535248212873,12,54.638777803915424
19.915542868180342,865.0058378942952,13,48.773164484173655
15.27701880963463,668.6837009555258,14,37.41341906479521
21.17853309689708,917.919687954372,15,51.86622755430095
20.479732756977544,888.6715953137036,16,50.154865521838005
22.205654864182403,960.7808438244581,17,54.3816487623827
28.113973049370756,1204.3555163291269,18,68.85111999790898
23.74667103951852,1024.7990933095707,19,58.15559737578086
27.219593996522235,1167.8097561943102,20,66.66078569748295
26.580694640303317,1141.6321648727676,21,65.09612117410282
23.505866416846747,1014.8181133809977,22,57.56586685485768
22.052500455967888,954.3995256368848,23,54.00657361666535
15.002328107096577,656.9596071185848,24,36.740701534279516
19.271840760484316,837.9483611916523,25,47.19673802242609
10.649034122385912,469.6932492816773,26,26.079484565723096
21.9396357962558,949.694736194551,27,53.73016806503045
23.592315943434734,1018.4022818774689,28,57.77758174547166
