Frame_no,bikes_count,bikes_area,bike_area_in_percent,density
1,9,28641,9.357602132831492,0.32142857142857145
2,13,38323,12.520910112653233,0.4642857142857143
3,10,32285,10.548171672024884,0.35714285714285715
4,6,25556,8.349669358843672,0.21428571428571427
5,5,12149,3.9693274785017905,0.17857142857142858
6,18,55189,18.031378237800254,0.6428571428571429
7,3,6347,2.0736950782822343,0.10714285714285714
8,8,31073,10.152186413654302,0.2857142857142857
9,6,26687,8.719190255887503,0.21428571428571427
10,19,56184,18.35646514545597,0.6785714285714286
11,6,24562,8.024909171698162,0.21428571428571427
12,11,34185,11.168940641417706,0.39285714285714285
13,7,20218,6.605635275360046,0.25
14,8,29913,9.773190621814475,0.2857142857142857
15,15,52775,17.242674926161165,0.5357142857142857
16,14,50958,16.649023759115504,0.5
17,5,18862,6.162602263519695,0.17857142857142858
18,15,44894,14.667790585221777,0.5357142857142857
19,14,48291,15.777660158394102,0.5
20,25,78828,25.75472437857759,0.8928571428571429
21,13,42958,14.035259677461513,0.4642857142857143
22,7,23646,7.725633184348781,0.25
23,10,40871,13.353393972660028,0.35714285714285715
24,5,19217,6.278588044643091,0.17857142857142858
25,3,12874,4.206199848401683,0.10714285714285714
26,2,12236,3.9977521628897774,0.07142857142857142
27,11,40677,13.290010193679919,0.39285714285714285
28,9,34917,11.408100054889045,0.32142857142857145
