Frame_no,cars_count,car_area,car_area_in_percent,density
1,3,25491,8.328432525680233,0.10714285714285714
2,6,48964,15.997543061763245,0.21428571428571427
3,4,40392,13.196894848270995,0.14285714285714285
4,7,90620,29.60741263493557,0.25
5,7,54221,17.715112783920123,0.25
6,6,59697,19.50423429781228,0.21428571428571427
7,7,84877,27.73105674481821,0.25
8,3,30581,9.991439922632583,0.10714285714285714
9,5,61258,20.014245014245013,0.17857142857142858
10,4,44635,14.583169973078231,0.14285714285714285
11,6,70475,23.025627956820617,0.21428571428571427
12,6,66458,21.71319166732011,0.21428571428571427
13,5,80924,26.439530567970937,0.17857142857142858
14,4,43827,14.319179800831177,0.14285714285714285
15,4,41688,13.620324629498942,0.14285714285714285
16,5,53602,17.512872788102147,0.17857142857142858
17,8,85045,27.785945790532946,0.2857142857142857
18,5,62611,20.456297864554745,0.17857142857142858
19,7,80261,26.22291486970386,0.25
20,6,68318,22.320891816304663,0.21428571428571427
21,3,32832,10.726887791107975,0.10714285714285714
22,8,89421,29.215674743197678,0.2857142857142857
23,6,72204,23.590527718968087,0.21428571428571427
24,3,38530,12.588541258266028,0.10714285714285714
25,6,69228,22.618207480592805,0.21428571428571427
26,4,46113,15.066062887163806,0.14285714285714285
27,5,65673,21.45671606680781,0.17857142857142858
28,4,43064,14.069892051543428,0.14285714285714285
